anchor_id,k,valid,train_objective,train_branch_sizes,fit_median_cosine,selection_median_cosine,selection_q25_cosine,selection_relative_rmse,selection_median_relative_error,selection_signal_fraction,selection_branch_sizes,bic
611,1,True,1.0633656577972457,[240],0.9791963318847164,0.9560065164782092,-0.9510727298915236,0.9851951164582641,0.9657593915947776,0.9875,[80],113.39686706390634
611,2,True,0.6141590781939326,"[141,99]",0.9982450225479197,0.9975197361357727,0.9926007995368546,0.8824827236159086,0.8529738353718815,0.9875,"[55,25]",85.78332831117828
611,3,True,0.4221656928034489,"[88,72,80]",0.9993221072616609,0.9985995956844653,0.99580931971128,0.7820825496080293,0.6644066782986191,0.9875,"[34,19,27]",99.95000249926653
611,4,True,0.24866994777279416,"[66,60,52,62]",0.9998105279172442,0.9997691944827202,0.9989950908851924,0.4103383177649915,0.404143956160842,0.9875,"[25,19,22,14]",77.05701379382282
611,5,True,0.15476162378870606,"[44,48,42,56,50]",0.9998988504021438,0.999844911349998,0.998741064658375,0.5609858113446858,0.3733417242832086,0.9875,"[14,19,22,14,11]",67.37143713753397
611,6,True,0.10692121943980162,"[48,24,43,29,49,47]",0.9999422731432123,0.9998796786027581,0.9994703021397705,0.4754355154184294,0.31240845668196693,0.9875,"[22,5,16,9,8,20]",82.75308250990724
844,1,True,0.7853011942467609,[240],0.48994310430453825,0.4873697987420204,0.34760780592635543,0.9848439917500272,0.962498377818134,0.9875,[80],40.646393136110184
844,2,True,0.5319175366499596,"[77,163]",0.9769977648908604,0.9734062536003342,0.7729880734009298,0.7210821394900766,0.5706453836775226,0.9875,"[26,54]",51.279606255106756
844,3,True,0.31325132403257805,"[77,65,98]",0.9970344499973038,0.9946104654801537,0.9634318667938591,0.5782361191572265,0.3881885745624893,0.9875,"[22,20,38]",28.33590967798358
844,4,True,0.2069062194834242,"[45,69,58,68]",0.99890273612814,0.9985617202433479,0.9936876537374202,0.5518778988801962,0.3706326169061456,0.9875,"[15,21,24,20]",32.93040700739385
844,5,True,0.13063184481060242,"[53,41,45,53,48]",0.9984353607929786,0.9970662797901114,0.9883711487817423,0.48435613140537725,0.2496894676421126,0.9875,"[16,17,13,12,22]",26.69071707287293
844,6,True,0.09560423584728221,"[32,35,46,49,47,31]",0.9993358240055665,0.9982327593343365,0.9900697899494433,0.3989883738721174,0.2369579377719973,0.9875,"[11,11,12,13,20,13]",55.90304188635173
1237,1,True,0.7496548765428659,[240],0.41590142829299687,0.6494216243412396,0.1171201408152043,1.0002180664434697,0.8246357361721849,1.0,[80],29.497338307471423
1237,2,True,0.49059270083885925,"[119,121]",0.9286666393589156,0.8876425143422417,0.6343391079921674,0.9963066078603858,0.6807227391325847,1.0,"[45,35]",31.869794092215727
1237,3,True,0.335318146871339,"[53,94,93]",0.9703515224444044,0.9540414767388132,0.8657886717393258,0.7006813148364316,0.4471775926665988,1.0,"[15,24,41]",44.673658344886974
1237,4,True,0.22612242958361736,"[47,45,73,75]",0.9908244527792568,0.9788508016094069,0.9077266417438737,0.49175373173911596,0.3908509378893405,1.0,"[12,12,33,23]",54.24503063434997
1237,5,True,0.15988692255809195,"[49,53,48,46,44]",0.9949393271485897,0.9846776306771752,0.9257403205819128,0.5782943485137136,0.36123237208544956,1.0,"[15,24,12,23,6]",75.19083136668047
1237,6,True,0.11402824680884073,"[33,42,55,38,26,46]",0.9974372255013233,0.9897529353247023,0.936255693289875,0.5449512640363948,0.36229702826038557,1.0,"[7,19,11,14,5,24]",98.19801859647487
1375,1,True,0.9186452462511141,[240],0.9946444618113253,0.0702039347911333,-0.9825042277394536,1.0002809619549027,0.9961680725249717,0.9375,[80],78.28623998620465
1375,2,True,0.6565523467498576,"[135,105]",0.9986290436530869,0.9982564207963194,0.9917195172333776,0.8482616216803092,0.9633310613477722,0.9375,"[43,37]",101.80295560739997
1375,3,True,0.28625823211010926,"[45,94,101]",0.9979353149642861,0.9981031493087937,0.9940668044285721,0.6100851204221208,0.49465836622323006,0.9375,"[12,37,31]",6.709147851805767
1375,4,True,0.1973975730732319,"[74,40,76,50]",0.9992222212901464,0.9994025935401915,0.9952307836862865,0.46784058320421396,0.3698816807356492,0.9375,"[23,12,23,22]",21.63941208580667
1375,5,True,0.12027343359261718,"[54,57,50,33,46]",0.9986081741243942,0.9985692789161982,0.9931296793213181,0.467262595079798,0.39229605497025094,0.9375,"[13,23,20,12,12]",6.863055186791144
1375,6,True,0.09565276742608904,"[42,46,48,33,31,40]",0.9985934594443008,0.9987577040546254,0.9942666581324964,0.4186846082576545,0.3145797413519166,0.9375,"[8,21,17,5,8,21]",56.024842175640856
1516,1,True,0.9104591151246979,[240],0.7530711734970333,-0.7930829910950485,-0.9058433953648419,1.0002411804961753,0.9998660790353449,0.925,[80],76.1379923198327
1516,2,True,0.7002883485282105,"[131,109]",0.8460590101873752,0.827327767168119,0.6969573784707344,0.9412494215198941,0.9728258067605251,0.925,"[42,38]",117.28049561446737
1516,3,True,0.46717420268658405,"[99,31,110]",0.8838042846238837,0.8919939111597494,0.6750419528124576,0.9225946131405979,0.849248175098386,0.925,"[34,11,35]",124.26304390435823
1516,4,True,0.3372856707454713,"[92,29,55,64]",0.9823861312806123,0.9606682271559641,0.851967939338618,0.7439476263463556,0.6873375917031271,0.925,"[31,10,16,23]",150.2099144405609
1516,5,True,0.21202999490054425,"[54,50,32,51,53]",0.988750581183351,0.9879855129481563,0.9728723853430853,0.5243964537464119,0.3737654812869533,0.925,"[21,21,8,9,21]",142.93345184895247
1516,6,True,0.16445224124945323,"[34,32,56,49,29,40]",0.9891766264771671,0.9896366112578248,0.9660337660609022,0.5571038042358782,0.3250716718647595,0.925,"[19,19,20,8,7,7]",186.07977969427105
1967,1,True,0.5689356864815639,[240],0.9999997460709904,0.9999997443837101,0.9999972697103541,1.0000526012929907,0.9357569904770913,0.9125,[80],-36.705590645774976
1967,2,True,0.34365634782820964,"[73,167]",0.9999998999387636,0.9999998705297362,0.9999993787639658,0.8680679324038442,0.2888271308833035,0.9125,"[20,60]",-53.56350618886893
1967,3,True,0.1465862219733296,"[106,65,69]",0.99999994117648,0.9999998666517675,0.999999731279995,0.640774359206686,0.17013450789705625,0.9125,"[42,20,18]",-153.918174954574
1967,4,True,0.0853601506503908,"[102,38,48,52]",0.9999999470361141,0.9999998922064717,0.9999997448662014,0.5619239725625805,0.17016630896739862,0.9125,"[43,14,14,9]",-179.56229845513985
1967,5,True,0.06277946347287094,"[38,98,42,36,26]",0.999999955353509,0.9999998710370279,0.9999997308538027,0.4886141975354382,0.14872407134371773,0.9125,"[9,39,13,10,9]",-149.17048690637444
1967,6,True,0.04740958886605262,"[32,33,74,34,32,35]",0.9999999548430467,0.9999999310642214,0.9999997839383892,0.417557597233955,0.10747037978448691,0.9125,"[9,9,32,8,11,11]",-112.43118741951582
2249,1,True,0.4504927391020547,[240],0.9796176190648473,0.9831350439778783,0.2942868182241366,0.996983929992256,0.22327276714810412,1.0,[80],-92.72769605604108
2249,2,True,0.3198363124102997,"[178,62]",0.9949304053989196,0.9925104862672693,0.9369481273714074,0.7848921059376902,0.19584057236573227,1.0,"[63,17]",-70.80338490332235
2249,3,True,0.19186826416675937,"[143,51,46]",0.997880942792881,0.9976016538641892,0.9920762591493135,0.6972108590000843,0.1897180714744546,1.0,"[53,16,11]",-89.31132427125709
2249,4,True,0.11804562480124957,"[29,46,49,116]",0.9992341467894621,0.9988524304826243,0.9941304741896011,0.7158251464056404,0.13257061919674934,1.0,"[6,14,14,46]",-101.75625956261604
2249,5,True,0.08014695610166053,"[112,23,43,29,33]",0.9994304643771695,0.9994785013043795,0.9969560877405614,0.46355551319332383,0.09987972504192222,1.0,"[46,5,13,7,9]",-90.55435196644407
2249,6,True,0.06521337676346067,"[21,111,17,36,22,33]",0.9994900049745825,0.9990128617903048,0.9970506189027906,0.48503044506755744,0.12630687642174102,1.0,"[8,43,9,6,8,6]",-35.90956150457612
2624,1,True,0.9718351386341871,[240],0.8333252422988163,-0.8748046478169039,-0.973432412517774,1.0006281155346208,0.998902679583012,0.9625,[80],91.79491677235576
2624,2,True,0.6236396629311336,"[120,120]",0.9990652759950168,0.9981204456727861,0.9834935682107248,0.782617801920916,0.7226993304776077,0.9625,"[40,40]",89.45983040520167
2624,3,True,0.20542562643763537,"[90,67,83]",0.9996409091500564,0.999404184107627,0.9986481598643471,0.5114053830255807,0.42410419524357934,0.9625,"[28,22,30]",-72.92531446043245
2624,4,True,0.13882442764972355,"[61,56,68,55]",0.9995957457312921,0.9990922100357165,0.9977043117784977,0.43937867680388754,0.3500499224749861,0.9625,"[27,12,18,23]",-62.84294187289913
2624,5,True,0.09806443306430858,"[46,43,49,57,45]",0.9997010153113612,0.9993961668040295,0.9981078917988573,0.3740822246432851,0.32135184018859064,0.9625,"[17,10,19,15,19]",-42.131269872004395
2624,6,True,0.06860110773815306,"[40,53,21,40,45,41]",0.9996835299129416,0.9992634396139191,0.998093778140977,0.32724548178358553,0.19488728429072388,0.9625,"[17,11,12,14,7,19]",-23.754984844959154
2836,1,True,0.7984584831660598,[240],0.5685769884072909,0.7590349593306359,-0.7754380031663319,0.999344262166943,0.9941805948433717,0.7625,[80],44.63414712997787
2836,2,True,0.502452028595189,"[148,92]",0.9999783999879645,0.9999909500270028,0.9992227252622193,0.7947750637251223,0.7620768542012701,0.7625,"[50,30]",37.602413982476946
2836,3,True,0.2272773458933073,"[76,69,95]",0.99999529861845,0.9999863203490011,0.9998641901178665,0.6063152268431139,0.42295849921454576,0.7625,"[24,25,31]",-48.66443290088472
2836,4,True,0.1271894281738107,"[55,60,67,58]",0.9999964854320881,0.9999979761856611,0.9999901146126782,0.4287746847021018,0.22642449188146557,0.7625,"[21,16,19,24]",-83.8507391584402
2836,5,True,0.0681341433436842,"[44,47,45,49,55]",0.9999978093790297,0.999998150911628,0.9999829376599823,0.3365088329208109,0.20464502098984477,0.7625,"[13,12,14,20,21]",-129.52637819435688
2836,6,True,0.048191217809340214,"[36,30,40,54,45,35]",0.9999979700547158,0.999996538432834,0.9999841268925215,0.33288179213936175,0.17000570671869925,0.7625,"[7,12,17,20,15,9]",-108.50663629890948
3731,1,True,0.8788507623048258,[240],0.7751518498203601,0.7112856953956236,-0.7017301474782499,0.9998270673154621,1.0008525137403432,0.75,[80],67.6578581558513
3731,2,True,0.5534000188212069,"[153,87]",0.9971672103954514,0.9887673840495146,0.8904181735277252,0.8300275157556048,0.8645863028757673,0.75,"[54,26]",60.781837535050414
3731,3,True,0.2706563692567181,"[76,80,84]",0.9985502228323044,0.9983785247234817,0.9944876059389725,0.5945630080014179,0.5593760983277595,0.75,"[40,21,19]",-6.7414857721253725
3731,4,True,0.1453454538327053,"[53,52,64,71]",0.9977613120490536,0.9968955314877417,0.9925240886908397,0.5094303187501825,0.40280816105593126,0.75,"[11,15,33,21]",-51.826143912671
3731,5,True,0.09694935705379587,"[44,36,53,48,59]",0.9989677772813469,0.9984809041543665,0.9928054442327066,0.4310118006923168,0.3720789415037573,0.75,"[10,8,22,11,29]",-44.87590817671685
3731,6,True,0.08077369751984433,"[38,44,56,50,15,37]",0.9997295499397301,0.999572547562879,0.9972244833893632,0.38508753057273243,0.2827289688111102,0.75,"[14,13,25,11,9,8]",15.447264210942308
3833,1,True,0.7393488446679984,[240],,,,1.000091102755777,0.9990977649245981,0.7625,[80],26.174999869138574
3833,2,True,0.554284786211873,"[84,156]",0.9587857560241551,0.9604825069639433,0.5410531556357892,0.9365341157935824,0.9158902039926429,0.7625,"[29,51]",61.16523941608028
3833,3,True,0.36731231975137213,"[70,95,75]",0.9655750262873577,0.9292811535009857,0.5816661760680362,0.8485637200706254,0.6877117820475069,0.7625,"[31,26,23]",66.54551122742018
3833,4,True,0.26370632006321043,"[85,37,53,65]",0.9896434841588347,0.9597258484015994,0.7920547689421064,0.7617482349649949,0.6252777356840689,0.7625,"[22,9,19,30]",91.14730668065425
3833,5,True,0.1881751753737528,"[36,48,81,28,47]",0.9997594590394673,0.9992363353824799,0.9350893549466129,0.6300375984216602,0.5703140904708339,0.7625,"[14,18,22,9,17]",114.28838693245314
3833,6,True,0.14219633899490808,"[49,37,42,41,36,35]",0.9983553224128654,0.9990361346601397,0.9667571465735197,0.5972345367109866,0.347614447742948,0.7625,"[16,15,9,5,20,15]",151.18103655943742
4342,1,True,0.7863206006813599,[240],0.9997960064915081,0.999645314623618,-0.9999029351955209,1.001601781052484,0.9947606435340353,0.825,[80],40.95773722589632
4342,2,True,0.4918076946621909,"[137,103]",0.9999331857153013,0.9999012604307409,0.9998119527443649,0.8668998251119967,0.7525286348240914,0.825,"[50,30]",32.46343934645046
4342,3,True,0.22065761648662263,"[61,92,87]",0.9999738354591297,0.9999429151122758,0.9997960439798328,0.6540578583248482,0.5415878498515785,0.825,"[24,28,28]",-55.758546401998615
4342,4,True,0.13831338755000538,"[63,54,60,63]",0.999983389297742,0.9999597502111672,0.9998364655992455,0.5211101974246183,0.3045755841630071,0.825,"[18,16,26,20]",-63.728059357568554
4342,5,True,0.09656635789362197,"[53,43,48,52,44]",0.9999848906339583,0.9999816132404897,0.9998443464381881,0.4859268881098255,0.2726079336941473,0.825,"[26,16,15,16,7]",-45.825907699869276
4342,6,True,0.08046216970220166,"[46,32,42,54,20,46]",0.9999843377974271,0.9999624819599079,0.9998893661550797,0.4952640672970138,0.32309444547159344,0.825,"[11,11,13,21,9,15]",14.519843153085503
4408,1,True,0.7338528825939012,[240],,,,1.000049079794564,0.9991584282234467,0.6875,[80],24.384291926492693
4408,2,True,0.48029489649995355,"[153,87]",0.9679403184057767,0.9758558543560644,0.6697860176812459,0.8577468307161065,0.8636353124189449,0.6875,"[59,21]",26.77844111920342
4408,3,True,0.2924245643066405,"[96,73,71]",0.9730823144303582,0.9540782135958756,0.7716843026772413,0.6408633739916211,0.5516899490793005,0.6875,"[37,19,24]",11.824128816321775
4408,4,True,0.21065464309346008,"[58,57,48,77]",0.9791422240710639,0.9806900307495203,0.9217153095393268,0.527579738147419,0.4148209903725716,0.6875,"[16,16,16,32]",37.23945947730135
4408,5,True,0.14930319897489194,"[38,54,24,53,71]",0.9876755317361343,0.9757621072258833,0.9352915958282082,0.4688102099006331,0.3409685746876825,0.6875,"[13,18,7,13,29]",58.75378323167388
4408,6,True,0.11368036846774472,"[33,30,37,30,45,65]",0.994614172261943,0.9822657759563949,0.9600430694353659,0.4328695464034754,0.3294356311817875,0.6875,"[11,5,14,12,11,27]",97.46470539515553
6799,1,True,0.5459000523260993,[240],,,,1.000169272674718,0.9981228803031261,0.6125,[80],-46.62514922181077
6799,2,True,0.33876985338008686,"[71,169]",0.9900229354877539,0.9850472886357373,0.9721699491314229,0.8461085197740952,0.5493901628339805,0.6125,"[24,56]",-57.00059201430639
6799,3,True,0.1733548459566339,"[59,53,128]",0.9936379095358432,0.9900007215091011,0.9732584694480325,0.6827516416189061,0.2818753788831545,0.6125,"[13,25,42]",-113.66373688988932
6799,4,True,0.11521414694139812,"[40,116,36,48]",0.9945603172593251,0.9966299998735629,0.9857748741976605,0.5484714154272886,0.2762950793959339,0.6125,"[17,35,14,14]",-107.58313713718462
6799,5,True,0.07750029711297594,"[16,110,39,43,32]",0.9987683265119918,0.9981621528976046,0.9914756524138865,0.549449643672796,0.20119034948977144,0.6125,"[5,32,15,11,17]",-98.61358334530064
6799,6,True,0.09623036582979425,"[30,91,44,20,34,21]",0.9976682808742953,0.9964489119596922,0.9834060596552079,0.5617831271645781,0.22342695124107637,0.6125,"[11,31,12,7,15,4]",57.469722017146864
8812,1,True,0.9081085300261549,[240],-1.773046097719444e-07,0.999998532929296,-0.9999998504330081,1.0000961445622,0.9951519602877288,0.8625,[80],75.51756916502649
8812,2,True,0.8879663800712689,"[110,130]",0.9999999650574697,0.9999999704966764,0.9999998793168099,0.8641441524025374,0.9449695911064444,0.8625,"[34,46]",174.26650488682455
8812,3,True,0.2530419898721172,"[107,32,101]",0.9999999764856808,0.9999999805944942,0.9999999367703752,0.6586278199546253,0.5263220302408229,0.8625,"[33,15,32]",-22.892180969275614
8812,4,True,0.14591417473778331,"[70,66,77,27]",0.99999997726079,0.9999999842508923,0.9999999468484257,0.5783876556492498,0.465530208456127,0.8625,"[23,18,26,13]",-50.88888260144796
8812,5,True,0.08879709925363918,"[54,55,25,50,56]",0.9999999744169364,0.9999999768801889,0.9999999327256553,0.4348251017304474,0.27343945819497995,0.8625,"[14,20,11,17,18]",-65.95625214509653
